frame,class
1,Manhole covers
2,Manhole covers
3,Manhole covers
4,Manhole covers
5,Manhole covers
6,Manhole covers
7,Manhole covers
8,Manhole covers
9,Manhole covers
10,Manhole covers
16,Manhole covers
17,Manhole covers
119,Crack
131,Manhole covers
350,Manhole covers
381,Manhole covers
382,Manhole covers
383,Manhole covers
384,Manhole covers
423,Manhole covers
424,Manhole covers
425,Manhole covers
426,Manhole covers
428,Manhole covers
429,Manhole covers
430,Manhole covers
431,Manhole covers
432,Manhole covers
433,Manhole covers
434,Manhole covers
437,Manhole covers
438,Manhole covers
439,Manhole covers
440,Manhole covers
441,Manhole covers
442,Manhole covers
443,Manhole covers
444,Manhole covers
445,Manhole covers
446,Manhole covers
447,Manhole covers
448,Manhole covers
449,Manhole covers
450,Manhole covers
451,Manhole covers
455,Manhole covers
457,Manhole covers
460,Manhole covers
461,Manhole covers
462,Manhole covers
463,Manhole covers
465,Manhole covers
469,Manhole covers
471,Manhole covers
472,Manhole covers
473,Manhole covers
474,Manhole covers
475,Manhole covers
476,Manhole covers
477,Manhole covers
478,Manhole covers
479,Manhole covers
480,Manhole covers
481,Manhole covers
482,Manhole covers
483,Manhole covers
484,Manhole covers
485,Manhole covers
486,Manhole covers
487,Manhole covers
488,Manhole covers
489,Manhole covers
490,Manhole covers
491,Manhole covers
494,Manhole covers
495,Manhole covers
496,Manhole covers
497,Manhole covers
498,Manhole covers
499,Manhole covers
500,Manhole covers
502,Manhole covers
503,Manhole covers
519,Manhole covers
526,Manhole covers
527,Manhole covers
528,Manhole covers
529,Manhole covers
530,Manhole covers
531,Manhole covers
532,Manhole covers
533,Manhole covers
534,Manhole covers
535,Manhole covers
536,Manhole covers
537,Manhole covers
538,Manhole covers
546,Manhole covers
549,Manhole covers
550,Manhole covers
551,Manhole covers
552,Manhole covers
553,Manhole covers
554,Manhole covers
555,Manhole covers
556,Manhole covers
557,Manhole covers
558,Manhole covers
559,Manhole covers
560,Manhole covers
561,Manhole covers
565,Manhole covers
566,Manhole covers
567,Manhole covers
568,Manhole covers
569,Manhole covers
570,Manhole covers
571,Manhole covers
572,Manhole covers
574,Manhole covers
582,Manhole covers
583,Manhole covers
584,Manhole covers
585,Manhole covers
586,Manhole covers
587,Manhole covers
588,Manhole covers
589,Manhole covers
590,Manhole covers
591,Manhole covers
592,Manhole covers
593,Manhole covers
594,Manhole covers
595,Manhole covers
596,Manhole covers
599,Manhole covers
604,Manhole covers
605,Manhole covers
606,Manhole covers
607,Manhole covers
608,Manhole covers
609,Manhole covers
610,Manhole covers
697,Manhole covers
699,Manhole covers
700,Manhole covers
721,Manhole covers
723,Manhole covers
724,Manhole covers
1102,Manhole covers
1103,Manhole covers
1106,Manhole covers
1107,Manhole covers
1108,Manhole covers
