frame,class,lat,lng
1,Manhole covers,7.98775835,98.30218829
2,Manhole covers,7.98775835,98.30218829
3,Manhole covers,7.98775835,98.30218829
4,Manhole covers,7.98775835,98.30218829
5,Manhole covers,7.98775835,98.30218829
6,Manhole covers,7.98775835,98.30218829
7,Manhole covers,7.98775835,98.30218829
8,Manhole covers,7.98775835,98.30218829
9,Manhole covers,7.98775835,98.30218829
10,Manhole covers,7.98775835,98.30218829
16,Manhole covers,7.98769365,98.30211194
17,Manhole covers,7.98769365,98.30211194
119,Crack,7.98731738,98.30214101
131,Manhole covers,7.9872045,98.30214326
350,Manhole covers,7.98643515,98.30232156
381,Manhole covers,7.98632484,98.30234258
382,Manhole covers,7.98632484,98.30234258
383,Manhole covers,7.98632484,98.30234258
384,Manhole covers,7.98632484,98.30234258
423,Manhole covers,7.98611141,98.30233197
424,Manhole covers,7.98611141,98.30233197
425,Manhole covers,7.98611141,98.30233197
426,Manhole covers,7.98611141,98.30233197
428,Manhole covers,7.98611141,98.30233197
429,Manhole covers,7.98611141,98.30233197
430,Manhole covers,7.98611141,98.30233197
431,Manhole covers,7.98611141,98.30233197
432,Manhole covers,7.98611141,98.30233197
433,Manhole covers,7.98611141,98.30233197
434,Manhole covers,7.98611141,98.30233197
437,Manhole covers,7.98611141,98.30233197
438,Manhole covers,7.98611141,98.30233197
439,Manhole covers,7.98611141,98.30233197
440,Manhole covers,7.98611141,98.30233197
441,Manhole covers,7.98611141,98.30233197
442,Manhole covers,7.98611141,98.30233197
443,Manhole covers,7.98601454,98.30229778
444,Manhole covers,7.98601454,98.30229778
445,Manhole covers,7.98601454,98.30229778
446,Manhole covers,7.98601454,98.30229778
447,Manhole covers,7.98601454,98.30229778
448,Manhole covers,7.98601454,98.30229778
449,Manhole covers,7.98601454,98.30229778
450,Manhole covers,7.98601454,98.30229778
451,Manhole covers,7.98601454,98.30229778
455,Manhole covers,7.98601454,98.30229778
457,Manhole covers,7.98601454,98.30229778
460,Manhole covers,7.98601454,98.30229778
461,Manhole covers,7.98601454,98.30229778
462,Manhole covers,7.98601454,98.30229778
463,Manhole covers,7.98601454,98.30229778
465,Manhole covers,7.98601454,98.30229778
469,Manhole covers,7.98601454,98.30229778
471,Manhole covers,7.98601454,98.30229778
472,Manhole covers,7.98601454,98.30229778
473,Manhole covers,7.98592419,98.30224957
474,Manhole covers,7.98592419,98.30224957
475,Manhole covers,7.98592419,98.30224957
476,Manhole covers,7.98592419,98.30224957
477,Manhole covers,7.98592419,98.30224957
478,Manhole covers,7.98592419,98.30224957
479,Manhole covers,7.98592419,98.30224957
480,Manhole covers,7.98592419,98.30224957
481,Manhole covers,7.98592419,98.30224957
482,Manhole covers,7.98592419,98.30224957
483,Manhole covers,7.98592419,98.30224957
484,Manhole covers,7.98592419,98.30224957
485,Manhole covers,7.98592419,98.30224957
486,Manhole covers,7.98592419,98.30224957
487,Manhole covers,7.98592419,98.30224957
488,Manhole covers,7.98592419,98.30224957
489,Manhole covers,7.98592419,98.30224957
490,Manhole covers,7.98592419,98.30224957
491,Manhole covers,7.98592419,98.30224957
494,Manhole covers,7.98592419,98.30224957
495,Manhole covers,7.98592419,98.30224957
496,Manhole covers,7.98592419,98.30224957
497,Manhole covers,7.98592419,98.30224957
498,Manhole covers,7.98592419,98.30224957
499,Manhole covers,7.98592419,98.30224957
500,Manhole covers,7.98592419,98.30224957
502,Manhole covers,7.98592419,98.30224957
503,Manhole covers,7.98584241,98.30219974
519,Manhole covers,7.98584241,98.30219974
526,Manhole covers,7.98584241,98.30219974
527,Manhole covers,7.98584241,98.30219974
528,Manhole covers,7.98584241,98.30219974
529,Manhole covers,7.98584241,98.30219974
530,Manhole covers,7.98584241,98.30219974
531,Manhole covers,7.98584241,98.30219974
532,Manhole covers,7.98584241,98.30219974
533,Manhole covers,7.98575795,98.30214894
534,Manhole covers,7.98575795,98.30214894
535,Manhole covers,7.98575795,98.30214894
536,Manhole covers,7.98575795,98.30214894
537,Manhole covers,7.98575795,98.30214894
538,Manhole covers,7.98575795,98.30214894
546,Manhole covers,7.98575795,98.30214894
549,Manhole covers,7.98575795,98.30214894
550,Manhole covers,7.98575795,98.30214894
